Disease,Description,Treatment,Advice
Brucellosis,"reduced milk production, abortion, swollen joints, lethargy",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Tetanus,"muscle stiffness, lockjaw","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Salmonellosis,"weakness, loss of appetite","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Leptospirosis,"fever, jaundice, red urine",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Bovine Respiratory Disease,"nasal discharge, not eating, lethargy, rapid breathing, coughing, reduced milk production","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Mastitis,"pain in udder, fever, abnormal milk, reduced milk production, swollen udder","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Mastitis,"high temperature, pain in udder","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Tetanus,"difficulty swallowing, hypersensitivity to stimuli, lockjaw, muscle stiffness","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Foot and Mouth Disease,"drooling, blisters on feet",No specific treatment. Supportive care and biosecurity measures.,"Strict biosecurity, movement controls, and reporting to authorities."
Ringworm,"hair loss, crusty skin patches, circular skin lesions",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Blackleg,"swelling, lameness","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Ringworm,"crusty skin patches, hair loss",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Salmonellosis,"dehydration, high temperature","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Tuberculosis,"weakness, high temperature, weight loss, coughing, swollen lymph nodes",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Bovine Respiratory Disease,"nasal discharge, fever, lethargy, coughing, rapid breathing, loss of appetite","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Leptospirosis,"jaundice, reduced milk production, fever, red urine",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Tuberculosis,"swollen lymph nodes, weakness, high temperature, weight loss, coughing",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Ringworm,"hair loss, circular skin lesions, crusty skin patches",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Tuberculosis,"fever, swollen lymph nodes, coughing, weakness, weight loss",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Blackleg,"lameness, not eating, depression","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Brucellosis,"abortion, retained placenta, high temperature",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Salmonellosis,"loss of appetite, dehydration, fever","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Bloat,"difficulty breathing, distended left abdomen, excessive salivation, discomfort","Passing stomach tube, vegetable oil orally, or trocarization in emergency.","Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Bovine Respiratory Disease,"fever, rapid breathing, lethargy","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Blackleg,"fever, swelling, depression, lameness, loss of appetite","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Anaplasmosis,"fever, jaundice, depression, weakness","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Tetanus,"muscle stiffness, difficulty swallowing","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Bloat,"discomfort, excessive salivation","Passing stomach tube, vegetable oil orally, or trocarization in emergency.","Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
